chrom	chromStart	chromEnd	name	length	cpgNum	gcNum	perCpg	perGc	obsExp
1	chr1	18598	19673	CpG: 116	1075	116	787	21.6	73.2	0.83
2	chr1	124987	125426	CpG: 30	439	30	295	13.7	67.2	0.64
3	chr1	317653	318092	CpG: 29	439	29	295	13.2	67.2	0.62
4	chr1	427014	428027	CpG: 84	1013	84	734	16.6	72.5	0.64
5	chr1	439136	440407	CpG: 99	1271	99	777	15.6	61.1	0.84
6	chr1	523082	523977	CpG: 94	895	94	570	21	63.7	1.04
7	chr1	534601	536512	CpG: 171	1911	171	1405	17.9	73.5	0.67
8	chr1	703847	704410	CpG: 60	563	60	385	21.3	68.4	0.92
9	chr1	752279	753308	CpG: 115	1029	115	673	22.4	65.4	1.07
10	chr1	778726	779074	CpG: 28	348	28	192	16.1	55.2	1.06
11	chr1	791838	792201	CpG: 24	363	24	243	13.2	66.9	0.79
12	chr1	795061	795491	CpG: 50	430	50	316	23.3	73.5	0.87
13	chr1	829557	830482	CpG: 83	925	83	525	17.9	56.8	1.11
14	chr1	834162	835746	CpG: 153	1584	153	1083	19.3	68.4	0.85
15	chr1	844628	844836	CpG: 16	208	16	140	15.4	67.3	0.68
16	chr1	848833	851495	CpG: 257	2662	257	1642	19.3	61.7	1.02
17	chr1	859195	861735	CpG: 178	2540	178	1740	14	68.5	0.64
18	chr1	865593	868226	CpG: 246	2633	246	1859	18.7	70.6	0.75
19	chr1	876219	876465	CpG: 18	246	18	163	14.6	66.3	0.67
20	chr1	884176	892517	CpG: 615	8341	615	5505	14.7	66	0.68
21	chr1	896159	896401	CpG: 23	242	23	175	19	72.3	0.74
22	chr1	902732	903016	CpG: 28	284	28	222	19.7	78.2	0.97
23	chr1	909589	909790	CpG: 15	201	15	139	14.9	69.2	0.63
24	chr1	923250	927273	CpG: 413	4023	413	2728	20.5	67.8	0.89
25	chr1	938533	938757	CpG: 19	224	19	138	17	61.6	0.89
26	chr1	939192	939714	CpG: 35	522	35	344	13.4	65.9	0.62
27	chr1	944631	946206	CpG: 148	1575	148	918	18.8	58.3	1.11
28	chr1	953658	954370	CpG: 54	712	54	510	15.2	71.6	0.64
29	chr1	957829	960101	CpG: 185	2272	185	1365	16.3	60.1	0.9
30	chr1	965359	970168	CpG: 351	4809	351	3126	14.6	65	0.69
31	chr1	970931	971263	CpG: 26	332	26	224	15.7	67.5	0.7
32	chr1	972015	972374	CpG: 26	359	26	248	14.5	69.1	0.61
33	chr1	973037	973475	CpG: 32	438	32	307	14.6	70.1	0.62
34	chr1	974069	974292	CpG: 19	223	19	154	17	69.1	0.72
35	chr1	980137	980557	CpG: 29	420	29	276	13.8	65.7	0.64
36	chr1	984299	985166	CpG: 98	867	98	631	22.6	72.8	0.87
37	chr1	989541	989774	CpG: 20	233	20	167	17.2	71.7	0.67
38	chr1	992526	995181	CpG: 213	2655	213	1739	16	65.5	0.75
39	chr1	1001372	1003265	CpG: 122	1893	122	1344	12.9	71	0.62
40	chr1	1006726	1007302	CpG: 41	576	41	395	14.2	68.6	0.61
41	chr1	1007962	1008253	CpG: 30	291	30	206	20.6	70.8	0.82
42	chr1	1009681	1009889	CpG: 15	208	15	144	14.4	69.2	0.6
43	chr1	1013006	1013210	CpG: 19	204	19	143	18.6	70.1	0.89
44	chr1	1013938	1014477	CpG: 44	539	44	369	16.3	68.5	0.7
45	chr1	1016240	1016488	CpG: 20	248	20	176	16.1	71	0.64
46	chr1	1017372	1017593	CpG: 18	221	18	160	16.3	72.4	0.62
47	chr1	1035907	1036203	CpG: 25	296	25	181	16.9	61.1	0.93
48	chr1	1040378	1040693	CpG: 31	315	31	184	19.7	58.4	1.17
49	chr1	1041041	1042308	CpG: 151	1267	151	870	23.8	68.7	1.01
50	chr1	1062232	1062710	CpG: 52	478	52	344	21.8	72	0.84
51	chr1	1083074	1083339	CpG: 25	265	25	204	18.9	77	0.64
52	chr1	1087906	1090447	CpG: 183	2541	183	1652	14.4	65	0.69
53	chr1	1099177	1100008	CpG: 59	831	59	526	14.2	63.3	0.71
54	chr1	1105437	1105869	CpG: 32	432	32	302	14.8	69.9	0.61
55	chr1	1122690	1123081	CpG: 40	391	40	291	20.5	74.4	0.75
56	chr1	1126223	1127019	CpG: 105	796	105	622	26.4	78.1	0.86
57	chr1	1131533	1132013	CpG: 55	480	55	343	22.9	71.5	0.9
58	chr1	1135431	1135741	CpG: 25	310	25	210	16.1	67.7	0.7
59	chr1	1136571	1136777	CpG: 16	206	16	141	15.5	68.4	0.67
60	chr1	1138918	1139387	CpG: 38	469	38	342	16.2	72.9	0.62
61	chr1	1142385	1142997	CpG: 71	612	71	409	23.2	66.8	1.04
62	chr1	1143647	1144282	CpG: 44	635	44	417	13.9	65.7	0.65
63	chr1	1149031	1149391	CpG: 27	360	27	242	15	67.2	0.68
64	chr1	1151822	1152144	CpG: 24	322	24	213	14.9	66.1	0.69
65	chr1	1153365	1153758	CpG: 34	393	34	277	17.3	70.5	0.7
66	chr1	1156909	1158848	CpG: 237	1939	237	1280	24.4	66	1.12
67	chr1	1163778	1164126	CpG: 27	348	27	250	15.5	71.8	0.61
68	chr1	1167748	1168070	CpG: 26	322	26	228	16.1	70.8	0.66
69	chr1	1171619	1172333	CpG: 81	714	81	510	22.7	71.4	0.89
70	chr1	1179259	1180108	CpG: 68	849	68	567	16	66.8	0.72
71	chr1	1180385	1180662	CpG: 25	277	25	182	18.1	65.7	0.84
72	chr1	1193029	1193460	CpG: 31	431	31	274	14.4	63.6	0.72
73	chr1	1198378	1199805	CpG: 155	1427	155	1002	21.7	70.2	0.88
74	chr1	1218643	1220026	CpG: 130	1383	130	934	18.8	67.5	0.83
75	chr1	1232263	1235048	CpG: 281	2785	281	1766	20.2	63.4	1.01
76	chr1	1237781	1238356	CpG: 41	575	41	393	14.3	68.3	0.63
77	chr1	1244185	1244411	CpG: 18	226	18	154	15.9	68.1	0.7
78	chr1	1249506	1250498	CpG: 114	992	114	703	23	70.9	0.92
79	chr1	1252528	1253283	CpG: 66	755	66	525	17.5	69.5	0.73
80	chr1	1255069	1255292	CpG: 20	223	20	125	17.9	56.1	1.16
81	chr1	1256948	1257149	CpG: 16	201	16	132	15.9	65.7	0.75
82	chr1	1257298	1258849	CpG: 116	1551	116	1059	15	68.3	0.64
83	chr1	1261288	1261937	CpG: 51	649	51	467	15.7	72	0.61
84	chr1	1262240	1262497	CpG: 20	257	20	173	15.6	67.3	0.69
85	chr1	1273796	1275208	CpG: 160	1412	160	825	22.7	58.4	1.33
